"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","Education","Student","Country","Ethnicity","Experiment_Enjoyment","Experiment_Quality","Experiment_Feedback","MINT_Sati_20","MINT_ReIA_5","MINT_Resp_26","MINT_Resp_27","MINT_SexS_8","MINT_ExAc_3","MINT_Gast_32","MINT_SexS_9","MINT_Card_30","MINT_Gast_33","MINT_SexS_7","MINT_AttentionCheck","MINT_Urin_15","MINT_ReIA_4","MINT_Derm_17","MINT_Urin_14","MINT_CaCo_10","MINT_Gast_31","MINT_ExAc_1","MINT_Sati_19","MINT_Card_29","MINT_Olfa_24","MINT_Urin_13","MINT_Resp_25","MINT_Derm_18","MINT_Olfa_22","MINT_ReIA_6","MINT_Olfa_23","MINT_CaCo_12","MINT_CaCo_11","MINT_Derm_16","MINT_Card_28","MINT_ExAc_2","MINT_Sati_21","Duration_MINT","BAIT_AI_Knowledge","BAIT_2_ImagesIssues","BAIT_10_Worry","BAIT_13_ArtIssues","BAIT_11_Exciting","BAIT_12_Benefit","BAIT_5_ImitatingReality","BAIT_9_Dangerous","BAIT_8_TextIssues","BAIT_3_VideosIssues","BAIT_14_ArtRealistic","BAIT_1_ImagesRealistic","BAIT_7_TextRealistic","BAIT_AttentionCheck","BAIT_6_EnvironmentReal","BAIT_4_VideosRealistic","Duration_BAIT","BAIT_AI_Use","LifeSatisfaction","PHQ4_Depression_4","PHQ4_Anxiety_1","PHQ4_Anxiety_2","PHQ4_Depression_3","ERNS_3_r","ERNS_8_r","ERNS_1","ERNS_5","ERNS_6_r","ERNS_4_r","ERNS_2_r","ERNS_7_r","Duration_ERNS","VVIQ_Friend_1","VVIQ_Friend_2","VVIQ_Friend_3","VVIQ_Friend_4","VVIQ_Sun_5","VVIQ_Sun_6","VVIQ_Sun_7","VVIQ_Sun_8","VVIQ_Shop_9","VVIQ_Shop_10","VVIQ_Shop_11","VVIQ_Shop_12","VVIQ_Country_13","VVIQ_Country_14","VVIQ_Country_15","VVIQ_Country_16","Duration_VVIQ","Duration_TaskInstructions1","Duration_TaskInstructions2","Feedback_MoreBeautifulAI","Feedback_LessBeautifulAI","Feedback_BigDifferenceRealAI","Feedback_SmallDifferenceRealAI","Feedback_NoDifferenceRealAI","Feedback_BadForgeries","Feedback_GoodForgeries","Feedback_LabelsNoAttention","Feedback_LabelsPaidAttention","Feedback_LabelsNotMatched","Feedback_LabelsReversed","Feedback_LabelsAllReal","Feedback_LabelsAllAI","Feedback_ConfidenceReal","Feedback_ConfidenceAI","Eyetracking_Validation1","Eyetracking_Validation2"
"S002","fw",2025-07-22 20:04:52,65.4101833333333,"chrome 138.0.0","true","Android OS",980,1757,"Female",55,"Master",FALSE,"United Kingdom","White",3,3,NA,1,5,2,3,5,3,3,5,3,2,6,5,5,4,5,3,3,3,2,3,2,5,4,2,5,3,2,5,4,3,5,3,4,3,5.80613333333333,1,3,6,6,4,3,4,5,4,4,0,5,3,6,3,5,2.96156666666667,NA,7,0,0.5,0.5,0.5,0,0,4,4,0,0,0,0,1.00035,3,4,3,4,4,3,3,3,3,2,2,2,2,2,3,3,3.99421666666667,1.30276666666667,0.675,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,3.78725891291642,6.12095015396902
"S003","fw",2025-07-22 20:40:46,72.1014166666667,"ios 18.5.0","true","iOS",980,1666,"Female",23,"High school",TRUE,"United Kingdom","White",2,4,NA,1,4,3,1,2,3,3,5,4,4,5,6,5,3,6,4,3,3,5,1,4,4,2,5,4,5,1,4,2,4,3,3,5,4,5.65408333333333,1,3,5,4,5,3,0,5,4,3,0,5,2,6,0,4,2.61501666666667,NA,7,0.5,1,0.5,0.5,1,0,4,2,1,0,0,1,1.33196666666667,3,3,2,4,2,1,2,2,2,2,2,3,1,2,1,2,7.45188333333333,1.6285,1.2003,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,0.367003367003367,0.588679245283019
"S022","os",2025-08-06 19:55:28,49.2200166666667,"chrome 138.0.0","false","Mac OS",1411,704,"Female",39,"Master",FALSE,"United Kingdom","White",4,3,NA,4,6,0,0,3,6,6,3,3,0,3,0,0,6,6,6,0,3,0,0,6,0,6,3,0,3,3,0,0,0,3,6,6,3,4.1642,6,0,6,6,0,0,6,6,6,0,0,6,0,6,0,6,0.952466666666667,"A few times per month",6,0.5,2,2,1,1,0,3,3,0,2,1,1,0.982516666666667,3,3,3,3,3,3,2,3,1,2,1,1,3,2,3,3,3.98155,0.4592,0.64045,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,4,NA,12.1214689265537,14.7457627118644
"S005","fw",2025-07-23 07:05:39,54.8008333333333,"chromium-webview 138.0.7204","true","Android OS",980,1810,"Male",56,"High school",NA,"United Kingdom","White",3,2,"Some of the questions were odd and didn't have a real answer 
",4,4,4,4,5,4,2,6,3,2,6,6,1,5,4,2,1,1,4,4,4,2,4,4,4,3,2,2,2,0,2,4,6,4,4.81531666666667,4,0,5,4,6,5,4,6,4,4,4,6,4,6,4,4,2.2395,NA,8,0.5,1,0.5,0.5,3,2,3,3,2,1,1,1,1.2649,2,2,1,1,1,3,1,0,1,0,3,3,2,2,1,3,3.2462,0.781933333333333,0.36735,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,3,3.28282828282828,18.4053440770584
"S020","os",2025-08-05 14:49:38,44.9472166666667,"chrome 138.0.0","false","Mac OS",1440,778,"Female",25,"Master",FALSE,"United Kingdom","White",2,3,"I love art and make it all the time. I would not buy anything AI generated because I think lack of effort means lack of worth, but I did think the majority of the artworks here were beautiful, I had negative reactions to some of the AI labelled ones because I find it sad, and scary, to think they could be generated. ",4,3,5,5,5,2,4,5,4,5,4,6,4,3,5,4,1,5,4,1,4,6,5,1,4,6,4,2,4,5,4,4,5,3,2.0189,4,5,6,6,3,4,5,6,6,3,0,6,5,6,6,5,1.1317,"A few times per week",6,0.5,1,2,0.5,2,1,3,4,1,1,1,3,0.52995,3,3,2,3,3,2,2,2,2,1,2,2,2,1,2,1,2.30171666666667,0.747066666666667,0.208716666666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,9.38418079096045,11.9689265536723
"S017","fw",2025-07-29 16:59:00,64.72645,"chrome 138.0.0","false","Windows 10",1536,730,"Male",22,"Bachelor",TRUE,"United Kingdom","White",2,3,"Difficult to stay focused, lots to think about. Labels should be attached to images instead of flashing before, as they become a blur.",2,2,5,5,6,1,5,5,4,4,5,0,4,5,4,5,5,4,1,5,4,4,4,5,5,4,4,4,2,4,4,4,5,6,4.13116666666667,3,3,6,6,5,3,2,5,4,4,0,5,2,6,2,4,1.97333333333333,NA,3,2,2,2,3,2,1,3,1,3,1,3,4,3.547,3,3,3,3,3,3,4,2,3,2,2,3,3,3,3,3,3.27771666666667,0.551716666666667,0.2028,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,31.337921806269,13.1476719267485
"S010","fw",2025-07-23 20:32:43,51.95065,"chromium-webview 138.0.7204","true","Android OS",980,1835,"Female",54,"Bachelor",FALSE,"United Kingdom","White",3,4,NA,6,6,5,4,5,6,6,6,5,6,5,6,0,5,6,6,4,6,6,6,3,0,1,3,6,0,5,0,5,6,6,5,6,0,3.06378333333333,2,4,6,6,5,3,0,4,0,3,0,5,6,6,4,4,2.1124,NA,7,0.5,0.5,0.5,0.5,0,0,4,4,0,0,0,2,0.979633333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2.42723333333333,0.779516666666667,0.2938,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,4.74242424242424,0.909090909090909
"S028","fw",2025-08-13 13:34:24,48.0210666666667,"safari 18.6.0","false","Mac OS",820,1075,"Male",65,"High school",FALSE,"United Kingdom","White",3,4,NA,3,6,3,4,6,6,3,6,4,5,6,6,4,4,3,5,2,5,6,3,3,4,4,5,4,4,4,4,1,0,1,4,6,6,3.57755,4,2,6,6,6,6,3,5,5,1,6,5,4,4,5,5,2.19785,"A few times per day",8,0,0.5,0.5,0,1,3,2,1,2,2,4,2,1.30878333333333,1,1,2,2,3,3,3,3,3,2,2,3,3,3,3,4,3.31696666666667,0.9859,1.3364,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,5,NA,1.60714285714286,3.39285714285714
"S013","os",2025-07-24 14:22:40,63.8018,"firefox 141.0.0","false","Mac OS",1391,816,"Male",82,"Master",FALSE,"United Kingdom","White",4,4,"I was very impressed and look forward to seeing the outcome",4,5,3,0,3,5,1,3,0,1,6,3,4,6,3,6,1,4,3,1,0,1,4,1,3,0,4,0,1,0,1,0,5,3,5.98628333333333,4,4,1,3,5,6,5,2,1,4,4,5,4,6,5,3,2.40786666666667,NA,10,0,0,0,0,0,0,4,2,0,0,0,0,1.18836666666667,3,3,2,1,3,3,3,4,3,2,4,3,2,1,3,3,3.90121666666667,2.65653333333333,0.647266666666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,20,20
"S019","os",2025-07-31 17:40:48,61.24065,"chrome 132.0.0","false","Linux",1920,970,"Male",25,"Bachelor",TRUE,"United Kingdom","White",4,3,"The photos at the end go by very quickly. It's hard to assess them in such short time",4,2,1,1,4,5,1,2,1,1,4,0,1,3,3,1,2,1,3,4,4,4,4,2,1,6,4,0,5,3,1,4,4,5,5.04488333333333,6,1,4,6,6,2,3,3,5,0,2,6,4,6,6,6,2.78885,"A few times per day",8,0,1,0.5,0.5,3,4,2,1,1,1,1,4,1.22943333333333,3,3,2,4,4,4,2,3,3,1,4,4,3,3,2,3,4.3181,0.0425,0.356133333333333,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,NA,33.1796784480195,27.8874926943308
"S011","os",2025-07-23 22:13:22,56.1615166666667,"chrome 138.0.0","false","Mac OS",1512,751,"Female",24,"Bachelor",TRUE,"United Kingdom","Turkish",3,3,"Personally, it took so long so after some point while gicing the answer i wanted to be get it over with soon enough. Secondly, maybe the show time of the pictures can be longer because sometimes, if i loose my focus i couldn't remember the paintings and have some hard time. ",0,4,0,0,6,6,2,6,0,2,5,0,0,5,6,2,0,2,6,0,0,5,1,1,6,5,3,6,3,0,5,0,6,3,3.68406666666667,4,4,0,3,6,6,6,0,3,4,5,6,5,6,4,6,2.40066666666667,NA,6,1,1,0.5,0.5,2,2,2,1,3,1,2,1,1.60098333333333,4,3,3,2,3,3,3,3,1,1,2,2,2,2,3,3,3.93563333333333,0.7675,0.457,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,13.2700175336061,11.8278784336645
"S007","os",2025-07-23 18:44:09,57.6186333333333,"safari 18.5.0","false","Mac OS",1366,892,"Male",20,"High school",FALSE,"United Kingdom","Turkish",3,3,"I find some works are really terrible and AI getting better every day but thereâ€™s nothing to scared about. Every art work has to be touched by the person who has feelings.",0,4,6,4,4,3,4,6,5,3,3,3,0,4,5,3,3,4,3,1,4,3,2,6,4,5,3,4,2,4,2,3,4,0,6.0938,4,4,0,6,5,5,3,2,5,3,1,3,3,5,4,4,3.43815,NA,6,0.5,0,1,0.5,0,4,4,3,2,2,0,1,1.72866666666667,3,3,2,2,1,2,1,2,0,2,1,2,1,2,1,2,4.40116666666667,0.31285,0.128466666666667,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"S023","os",2025-08-06 20:41:39,44.2244333333333,"safari 18.5.0","false","Mac OS",1237,693,"Female",23,"Bachelor",TRUE,"United Kingdom","Mixed",4,3,NA,2,4,2,2,3,4,3,3,4,2,3,1,1,4,4,3,2,4,4,3,4,1,2,3,5,2,2,2,2,2,4,4,3,2,3.12068333333333,4,4,4,4,4,2,2,4,4,4,1,2,2,1,1,2,1.43505,"A few times per week",6,0.5,0.5,0.5,0.5,1,1,3,3,1,1,1,2,0.773566666666667,3,3,1,2,2,2,3,3,3,2,2,2,4,3,3,3,2.88136666666667,0.9565,0.491116666666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,14.2955154691398,15.1774467362703
"S027","os",2025-08-10 19:00:53,44.5610666666667,"safari 17.3.1","false","Mac OS",690,721,"Male",26,"Master",TRUE,"United Kingdom","South Asian",1,3,NA,1,5,1,1,5,5,1,1,4,4,3,1,1,5,2,5,5,2,5,1,5,0,2,3,4,5,1,6,5,5,1,5,5,1,3.33186666666667,2,4,6,6,1,2,4,6,5,4,5,5,3,1,2,5,1.91291666666667,"Once a day",5,3,3,3,2,0,1,4,4,0,0,0,3,0.9494,3,3,4,1,3,3,1,3,3,1,4,4,2,3,3,1,3.5573,0.4777,0.1638,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,NA,1.17647058823529,19.9404125286478
"S030","fw",2025-08-13 18:26:23,51.2275333333333,"safari 18.6.0","false","Mac OS",1352,741,"Female",64,"Doctorate",NA,"United Kingdom","White",3,3,"I found some questions difficult to understand - so am not sure I understood correctly the last part",5,4,5,4,4,3,3,6,5,1,6,0,1,5,1,0,2,4,5,3,5,2,2,4,5,1,3,0,3,0,4,4,6,4,3.19015,2,5,3,5,5,3,2,3,5,5,1,3,4,5,3,4,2.23036666666667,"A few times per month",7,0.5,0.5,0.5,0,1,0,4,3,0,0,1,2,0.80735,3,3,3,4,3,3,2,2,3,3,4,4,3,3,2,2,3.66865,1.06338333333333,0.626516666666667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,6.03448275862069,6.72413793103448
"S001","fw",2025-07-22 18:44:15,65.5739,"instagram 389.0.0","true","iOS",980,1670,"Female",22,"Bachelor",FALSE,"United Kingdom","White",2,3,NA,5,2,5,4,3,5,6,4,5,3,3,0,4,2,4,4,5,6,4,2,5,2,5,5,5,4,1,3,5,5,3,5,4,4,3.02573333333333,4,5,6,6,2,3,5,4,5,3,2,5,3,6,4,6,1.0983,NA,5,1,3,2,2,0,1,4,3,1,2,2,3,0.728133333333333,2,3,4,4,3,2,3,3,4,4,2,4,2,4,3,4,2.89496666666667,0.440266666666667,0.162,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,0.344827586206897,0
"S025","os",2025-08-08 17:41:39,91.2599166666667,"edge-chromium 139.0.0","false","Windows 10",1536,864,"Female",24,"Bachelor",TRUE,"United Kingdom","South Asian",3,3,NA,4,6,0,0,6,6,4,6,0,0,4,6,0,5,6,0,4,4,5,0,0,0,0,1,6,0,2,0,6,0,0,4,6,1,5.53113333333333,4,3,6,6,1,0,1,6,4,3,1,1,0,6,2,0,2.03005,"A few times per week",7,1,2,3,0.5,0,0,4,3,0,1,0,0,2.74876666666667,4,4,3,4,3,4,3,4,3,2,4,4,3,1,1,0,5.50718333333333,0.0622333333333333,1.66463333333333,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,8.96756282875511,2.19209039548023
"S024","os",2025-08-08 16:39:56,79.2715333333333,"chrome 139.0.0","false","Mac OS",1714,1014,"Female",35,"Master",FALSE,"United Kingdom","White",4,4,"I think that in the last part, if the participant chooses AI and the first slider, then the second slider should be automatically blocked (choice between replica or original)",0,6,0,0,3,6,4,6,0,3,6,0,0,5,2,3,0,4,6,3,0,2,0,0,5,1,5,2,0,0,2,1,6,3,10.23235,4,5,6,3,5,5,6,5,3,6,6,6,6,3,6,6,6.45846666666667,"A few times per week",9,3,0,0,0.5,1,2,4,3,0,1,0,0,2.07853333333333,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3.22505,1.9913,0.426466666666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,6.2010520163647,3.34745762711864
"S004","fw",2025-07-22 22:25:24,40.8117166666667,"facebook 519.0.0","true","iOS",980,1701,"Female",61,"Bachelor",FALSE,"United Kingdom","White",4,3,NA,0,4,0,0,6,6,4,6,0,6,6,0,6,0,4,0,0,5,3,0,0,2,2,0,5,2,0,3,6,0,6,4,6,6,2.63211666666667,3,2,6,2,3,0,4,2,3,2,2,5,4,0,6,5,1.24103333333333,NA,5,0.5,2,2,2,0,2,4,4,0,0,0,0,0.714083333333333,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,2.77905,0.49495,0.550933333333333,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,1.35885447106955,0.172413793103448
"S014","os",2025-07-25 22:53:57,60.2822833333333,"chrome 138.0.0","false","Windows 10",1366,599,"Female",25,"Bachelor",TRUE,"Belgium","Middle Eastern/North African",3,3,NA,4,3,0,1,1,3,1,5,1,3,3,0,1,3,2,1,1,4,4,4,1,1,1,1,4,1,3,1,1,0,3,2,4,3,4.97181666666667,2,4,5,4,3,3,3,4,4,5,3,2,3,3,4,1,2.08368333333333,NA,7,0.5,0.5,0.5,0.5,2,3,2,4,2,3,0,2,1.05028333333333,4,3,3,2,3,4,2,3,3,2,4,4,2,3,4,4,3.15858333333333,1.98325,0.282466666666667,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"S026","fw",2025-08-09 13:37:48,86.1746,"chromium-webview 139.0.7258","true","Android OS",980,1835,"Female",54,"High school",FALSE,"United Kingdom","White",2,3,"Some of the questions were way more personally intrusive than I was expecting, eg.... about our sexual arousal !?
Strange questions to be asking. ",2,5,5,5,5,5,5,6,5,4,5,0,0,5,5,0,1,4,5,4,5,2,5,5,5,1,1,1,4,5,5,5,5,2,6.71533333333333,2,3,6,6,1,0,2,6,4,4,0,4,2,6,5,4,3.25761666666667,"A few times per month",5,2,3,3,3,2,2,3,2,3,0,3,3,2.71288333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.95553333333333,1.78415,1.29251666666667,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,10.103612332995,5.02440349851836
"S006","os",2025-07-23 18:19:30,49.8527666666667,"chrome 138.0.0","false","Mac OS",1196,941,"Female",28,"Master",TRUE,"United Kingdom","White",1,4,"took me an hour, not half an hour",5,4,2,2,3,4,4,4,3,3,3,0,3,3,4,5,1,4,4,4,3,2,4,2,4,1,2,2,2,3,4,2,4,5,2.806,2,4,6,4,2,1,3,6,4,3,1,5,4,2,2,4,1.6933,NA,7,0.5,0.5,0,0,2,3,1,0,3,2,4,2,0.783983333333333,3,2,2,2,1,2,1,2,2,2,1,2,1,2,1,0,2.54358333333333,0.74845,0.359833333333333,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,10.9677576466004,7.29144749659069
"S018","os",2025-07-30 18:15:00,51.8896,"ios 18.5.0","true","iOS",691,1178,"Female",51,"Bachelor",FALSE,"Germany","White",4,3,NA,2,5,2,4,2,5,2,5,4,5,0,0,0,4,1,0,1,4,4,4,4,4,1,0,4,1,2,0,2,1,0,2,6,0,4.00808333333333,3,1,5,1,6,2,5,5,2,1,5,6,6,6,5,6,2.58743333333333,"A few times per day",9,0,0,0.5,0,1,3,3,4,0,0,1,0,1.54333333333333,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3.35826666666667,0.940383333333333,0.672216666666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3.06838106370544,1.36762127410871
"S012","fw",2025-07-24 14:15:59,55.7291666666667,"chrome 138.0.0","false","Windows 10",1536,730,"Male",55,"Doctorate",NA,"Nicaragua","White",2,3,"A little long - the mind started wandering on the final section",5,6,1,1,5,5,1,5,0,1,4,0,1,3,1,3,0,1,2,4,0,0,5,1,1,0,3,1,0,0,0,1,5,3,4.68273333333333,2,3,4,4,4,5,5,4,5,3,1,5,2,1,1,3,2.19336666666667,NA,7,1,0.5,0.5,0.5,3,3,2,2,2,3,1,2,1.39063333333333,4,3,3,1,2,3,2,3,1,2,1,4,3,2,3,2,4.08933333333333,1.554,0.194966666666667,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,4,NA,8.52766413403468,4.53495064082296
"S029","fw",2025-08-13 15:21:04,34.3539,"ios 18.6.0","true","iOS",980,1687,"Female",53,"Master",FALSE,"United Kingdom","White",3,4,NA,3,3,3,2,3,6,4,4,4,2,3,6,2,3,3,2,3,4,3,2,3,4,1,4,5,2,2,3,5,2,4,4,5,4,1.90301666666667,3,3,3,4,4,3,3,3,4,3,2,3,2,6,3,3,1.04646666666667,"A few times per week",3,2,1,1,1,2,2,4,4,1,1,1,1,0.5065,3,3,2,1,3,4,2,2,3,3,3,2,3,3,3,2,1.74405,0.498933333333333,0.171766666666667,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,1.63335738335738,0.377358490566038
"S016","dm",2025-07-28 13:28:47,67.7728833333333,"edge-chromium 136.0.0","false","Windows 10",1528,746,"Female",21,"High school",TRUE,"United Kingdom","South Asian",4,3,NA,6,5,6,5,5,6,4,6,4,5,4,0,5,4,5,6,3,4,6,5,5,0,6,6,6,0,2,4,6,2,6,4,6,5,3.79031666666667,3,5,4,6,5,3,2,5,6,5,2,4,0,0,4,4,2.10081666666667,NA,2,2,3,3,3,4,4,3,3,3,4,4,4,0.850633333333333,4,4,3,4,1,2,0,3,4,4,4,3,3,3,3,3,4.54223333333333,0.8731,0.435116666666667,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,6.84463276836158,5.06214689265537
"S008","os",2025-07-23 19:24:24,98.1488333333333,"samsung 28.0.0","true","Android OS",980,1758,"Female",60,"Doctorate",NA,"Turkey","White",4,3,"Thank you",1,2,1,1,0,0,1,0,0,1,0,1,1,1,2,1,1,1,0,1,1,0,1,1,2,0,1,0,2,0,2,0,2,1,7.67018333333333,2,4,6,4,0,0,2,6,3,4,0,2,0,2,1,1,6.34906666666667,NA,3,0.5,0.5,0.5,0,3,2,4,4,0,0,0,0,5.9374,2,1,2,2,2,3,2,4,1,1,1,1,2,1,3,2,13.5888833333333,2.1807,2.11203333333333,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,1.80147058823529,0
"S015","os",2025-07-27 09:11:10,70.7125833333333,"chrome 138.0.0","false","Windows 10",1366,633,"Female",25,"Master",FALSE,"United Kingdom","Black",3,3,NA,0,4,0,0,3,4,0,4,0,0,0,5,0,3,0,0,0,2,1,0,2,0,0,0,4,0,3,0,0,0,4,0,4,0,4.42508333333333,1,3,3,3,6,4,4,3,2,2,3,4,3,6,5,4,3.22545,NA,7,0.5,0,0.5,0.5,0,0,4,4,1,0,0,1,2.24516666666667,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,4.86873333333333,2.11121666666667,0.674783333333333,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA
"S021","os",2025-08-05 19:23:13,44.9303666666667,"ios 18.5.0","true","iOS",980,1657,"Female",25,"Bachelor",FALSE,"United Kingdom","White",4,3,NA,2,4,4,3,5,5,5,4,1,3,5,0,1,2,2,4,0,5,5,0,3,3,4,3,5,4,1,5,1,1,4,1,5,3,3.31516666666667,2,5,6,4,2,4,4,6,5,5,6,6,4,6,4,5,2.06675,"A few times per month",8,0.5,1,0.5,0.5,0,0,4,4,0,0,0,1,0.2777,2,3,1,2,2,3,2,2,3,2,2,1,2,2,2,2,3.45826666666667,0.476066666666667,1.34943333333333,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,1.08441558441558,1.27609427609428
"S009","fw",2025-07-23 20:10:38,61.3112666666667,"safari 17.6.0","false","Mac OS",1440,848,"Female",53,"High school",FALSE,"United Kingdom","White",4,4,"The only thing that slightly influenced my decisions on whether the paintings were AI, forgeries or real were if I liked them or not! ",2,5,4,4,6,2,5,6,4,5,6,6,1,6,2,6,1,4,4,1,1,3,5,3,4,3,2,4,4,0,2,4,5,5,5.1257,1,2,6,6,1,1,4,6,3,3,0,6,6,3,5,6,2.10518333333333,NA,8,0.5,0.5,1,0,0,0,4,4,0,0,0,0,0.950833333333333,3,3,3,3,3,3,3,3,4,3,3,3,2,2,3,3,4.12833333333333,1.29595,0.50745,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,11.8965517241379,25.3448275862069
